GAME_ID_HOME,EXPERT_RANK_HOME,EXPERT_RANK_AWAY
21700166,3,2
21700140,3,12
21700095,3,20
21700043,3,16
21700032,3,19
21701215,7,6
21701184,7,29
21701138,7,17
21701108,7,5
21701098,7,27
21701079,7,8
21701035,7,26
21701006,7,9
21700959,7,18
21700945,7,26
21700929,7,10
21700917,7,1
21700895,7,20
21700875,7,17
21700813,7,6
21700762,7,10
21700744,7,4
21700640,7,13
21700630,7,28
21700620,7,24
21700605,7,12
21700583,7,13
21700556,7,27
21700537,7,30
21700521,7,3
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700483,7,24
21700452,7,15
21700440,7,2
21700422,7,11
21700406,7,16
21700320,7,21
21700279,7,14
21700218,7,18
21700192,7,23
21700177,7,29
21700164,7,22
21700151,7,19
21700122,7,2
21700108,7,25
21700020,7,21
21700006,7,20
21701202,6,29
21701185,6,30
21701140,6,10
21701059,6,4
21701017,6,7
21700998,6,26
21700916,6,17
21700898,6,16
21700858,6,11
21700835,6,2
21700820,6,26
21700784,6,14
21700767,6,29
21700758,6,27
21700683,6,24
21700663,6,20
21700650,6,15
21700570,6,9
21700559,6,2
21700539,6,28
21700517,6,3
21700495,6,7
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700485,6,30
21700456,6,18
21700423,6,12
21700407,6,8
21700356,6,19
21700343,6,13
21700326,6,25
21700314,6,20
21700292,6,21
21700269,6,24
21700215,6,1
21700188,6,10
21700170,6,17
21700161,6,22
21700109,6,23
21700092,6,5
21700051,6,27
21700007,6,13
21701207,27,2
21701192,27,13
21701186,27,18
21701159,27,24
21701139,27,21
21701081,27,9
21701055,27,30
21701038,27,17
21701022,27,20
21701009,27,19
21700992,27,10
21700900,27,1
21700886,27,6
21700857,27,7
21700801,27,13
21700786,27,29
21700745,27,28
21700635,27,15
21700607,27,30
21700550,27,5
21700493,27,20
21700468,27,6
21700431,27,4
21700399,27,22
21700390,27,29
21700357,27,16
21700334,27,24
21700306,27,18
21700293,27,14
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
